"","ind1","ind2","weight","transformed_weight"
"246","212234","331419",0.1111111,2.197225
"247","212234","541330",0.1111111,2.197225
"248","212221","212291",0.5,0.6931472
"249","212291","331419",0.5,0.6931472
"250","212111","212299",0.25,1.386294
"251","212113","212299",0.125,2.079442
"252","212210","212299",0.25,1.386294
"253","212221","212299",0.5,0.6931472
"254","212234","212299",0.375,0.9808292
"255","212299","212391",0.125,2.079442
"256","212299","237210",0.125,2.079442
"257","212299","322110",0.125,2.079442
"258","212299","331111",0.125,2.079442
"259","212299","541330",0.125,2.079442
"260","212311","327991",1,0
"261","212311","453998",1,0
"262","212312","212322",0.6666667,0.4054651
"263","212312","212393",0.3333333,1.098612
"264","212313","327125",1,0
"265","211111","212319",0.25,1.386294
"266","212319","325181",0.25,1.386294
"267","211111","212321",0.5,0.6931472
"268","212321","221210",0.5,0.6931472
"269","212321","237990",0.5,0.6931472
"270","212321","327310",0.5,0.6931472
"271","212321","327320",0.5,0.6931472
"272","212321","486210",0.5,0.6931472
"273","212312","212322",0.6666667,0.4054651
"274","212322","212393",0.3333333,1.098612
"275","212322","523999",0.3333333,1.098612
"276","212325","423930",0.3333333,1.098612
"277","212325","484121",0.3333333,1.098612
"278","212113","212391",0.25,1.386294
"279","212221","212391",0.5,0.6931472
"280","212234","212391",0.25,1.386294
"281","212299","212391",0.25,1.386294
"282","212391","322110",0.25,1.386294
"283","212391","325311",0.5,0.6931472
"284","212391","325312",0.5,0.6931472
"285","212391","331111",0.25,1.386294
"286","212391","541330",0.25,1.386294
"287","212312","212393",0.5,0.6931472
"288","212322","212393",0.5,0.6931472
"289","212393","325312",0.5,0.6931472
"290","211111","212399",0.1111111,2.197225
"291","212210","212399",0.1111111,2.197225
"292","212234","212399",0.1111111,2.197225
"293","212399","331111",0.1111111,2.197225
"294","212399","331411",0.1111111,2.197225
"295","212399","335912",0.1111111,2.197225
"296","212399","336211",0.1111111,2.197225
"297","212399","423710",0.1111111,2.197225
"298","212399","531120",0.1111111,2.197225
"299","211111","213111",0.3,1.203973
"300","213111","213112",0.1666667,1.791759
"301","213111","234930",0.0333333,3.401197
"302","213111","312221",0.0333333,3.401197
"303","213111","333131",0.0333333,3.401197
"304","213111","333132",0.0333333,3.401197
"305","213111","421830",0.0333333,3.401197
"306","213111","423940",0.0333333,3.401197
"307","213111","481212",0.0333333,3.401197
"308","213111","483112",0.0333333,3.401197
"309","213111","483211",0.0333333,3.401197
"310","213111","487990",0.0333333,3.401197
"311","213111","488390",0.0333333,3.401197
"312","213111","522298",0.0333333,3.401197
"313","213111","523999",0.0333333,3.401197
"314","213111","524113",0.0333333,3.401197
"315","213111","524114",0.0333333,3.401197
"316","213111","524126",0.0333333,3.401197
"317","213111","531120",0.0666667,2.70805
"318","213111","532490",0.0333333,3.401197
"319","213111","533110",0.0333333,3.401197
"320","213111","541360",0.0333333,3.401197
"321","213111","541620",0.0333333,3.401197
"322","213111","721110",0.0333333,3.401197
"323","211111","213112",0.3,1.203973
"324","213111","213112",0.1666667,1.791759
"325","213112","234910",0.0333333,3.401197
"326","213112","234990",0.0333333,3.401197
"327","213112","237990",0.0333333,3.401197
"328","213112","324110",0.0666667,2.70805
"329","213112","325110",0.0333333,3.401197
"330","213112","325188",0.0333333,3.401197
"331","213112","325510",0.0333333,3.401197
"332","213112","333132",0.1333333,2.014903
"333","213112","333911",0.0333333,3.401197
"334","213112","422690",0.0333333,3.401197
"335","213112","424710",0.0333333,3.401197
"336","213112","486210",0.1,2.302585
"337","213112","486910",0.0333333,3.401197
"338","213112","518111",0.0333333,3.401197
"339","213112","523999",0.0333333,3.401197
"340","213112","532412",0.0666667,2.70805
"341","213112","532490",0.0333333,3.401197
"342","213112","541330",0.1,2.302585
"343","213112","541360",0.0333333,3.401197
"344","213112","541990",0.0333333,3.401197
"345","113210","213113",1,0
"346","221111","221112",0.3333333,1.098612
"347","221111","237210",0.3333333,1.098612
"348","221111","486110",0.3333333,1.098612
"349","221111","523110",0.3333333,1.098612
"350","221111","531120",0.3333333,1.098612
"351","211111","221112",0.2,1.609438
"352","221111","221112",0.2,1.609438
"353","221112","221119",0.4,0.9162907
"354","221112","221210",0.2,1.609438
"355","221112","325110",0.2,1.609438
"356","221112","325311",0.2,1.609438
"357","221112","331312",0.2,1.609438
"358","221112","331315",0.2,1.609438
"359","221112","331316",0.2,1.609438
"360","211111","221119",0.1428571,1.94591
"361","211112","221119",0.047619,3.044523
"362","212111","221119",0.0238095,3.73767
"363","221112","221119",0.047619,3.044523
"364","221119","221122",0.0238095,3.73767
"365","221119","221210",0.1904762,1.658228
"366","221119","221310",0.0238095,3.73767
"367","221119","221330",0.0238095,3.73767
"368","221119","236210",0.0238095,3.73767
"369","221119","237210",0.0238095,3.73767
"370","221119","237310",0.0238095,3.73767
"371","221119","311311",0.0238095,3.73767
"372","221119","311611",0.0238095,3.73767
"373","221119","324110",0.0714286,2.639057
"374","221119","325192",0.0238095,3.73767
"375","221119","333996",0.0238095,3.73767
"376","221119","422720",0.0238095,3.73767
"377","221119","423620",0.0238095,3.73767
"378","221119","424510",0.0238095,3.73767
"379","221119","424720",0.0952381,2.351375
"380","221119","485112",0.0238095,3.73767
